design_id,jaccard_scFv2_6YYE,nover_scFv2_6YYE,frac_scFv2_6YYE,jaccard_scFv4_6Y6C,nover_scFv4_6Y6C,frac_scFv4_6Y6C,jaccard_PS_site_6B8O,nover_PS_site_6B8O,frac_PS_site_6B8O,cohort,is_hit,p_expressed,kd_arith_mean_nM_all
120,0.0,0,0.0,0.0,0,0.0,0.128,5,0.128,agent,False,False,
121,0.0,0,0.0,0.0,0,0.0,0.205,8,0.205,agent,False,True,
122,0.0,0,0.0,0.022,1,0.034,0.333,14,0.359,agent,False,True,
123,0.0,0,0.0,0.0,0,0.0,0.357,15,0.385,agent,True,True,1387.39155
124,0.0,0,0.0,0.0,0,0.0,0.2,8,0.205,agent,,False,
125,0.0,0,0.0,0.0,0,0.0,0.341,14,0.359,agent,False,True,
126,0.0,0,0.0,0.0,0,0.0,0.231,9,0.231,agent,False,True,
127,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,agent,,False,
128,0.0,0,0.0,0.0,0,0.0,0.154,6,0.154,agent,,False,
129,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,agent,,False,
130,0.077,2,0.105,0.027,1,0.034,0.067,3,0.077,agent,,False,
131,0.053,1,0.053,0.0,0,0.0,0.0,0,0.0,agent,,False,
132,0.0,0,0.0,0.021,1,0.034,0.372,16,0.41,agent,True,True,3.636133333333333
133,0.0,0,0.0,0.146,7,0.241,0.275,14,0.359,agent,False,True,
134,0.0,0,0.0,0.023,1,0.034,0.279,12,0.308,agent,True,True,177.59050000000002
135,0.0,0,0.0,0.0,0,0.0,0.225,9,0.231,agent,,False,
136,0.0,0,0.0,0.0,0,0.0,0.205,8,0.205,agent,,False,
137,0.0,0,0.0,0.065,3,0.103,0.341,15,0.385,agent,True,True,80.96844999999999
138,0.0,0,0.0,0.023,1,0.034,0.35,14,0.359,agent,True,True,46.2453
139,0.0,0,0.0,0.0,0,0.0,0.293,12,0.308,agent,False,True,
140,0.0,0,0.0,0.0,0,0.0,0.103,4,0.103,agent,,False,
141,0.0,0,0.0,0.0,0,0.0,0.325,13,0.333,agent,False,True,
