design_id,IgSF,his_tag,stalk,linker,met,cohort,is_hit,expressed,p_screened,p_expressed,team,kd_arith_mean_nM_all,any_stalk,stalk_dominant,any_histag
108,5.0,0.0,0.0,0.0,0.0,agent,,,False,False,grok-4.1-fast,,False,False,False
109,9.0,0.0,0.0,0.0,0.0,agent,,,False,False,grok-4.1-fast,,False,False,False
110,0.0,0.0,0.0,0.0,0.0,agent,,,False,False,grok-4.1-fast,,False,False,False
111,7.0,0.0,0.0,0.0,0.0,agent,False,False,True,False,grok-4.1-fast,,False,False,False
112,8.0,0.0,0.0,0.0,0.0,agent,False,True,True,True,Gemini 3.1 Pro,,False,False,False
113,10.0,0.0,0.0,0.0,0.0,agent,False,False,True,False,Gemini 3.1 Pro,,False,False,False
114,10.0,0.0,0.0,0.0,0.0,agent,False,False,True,False,Gemini 3.1 Pro,,False,False,False
115,12.0,0.0,0.0,0.0,0.0,agent,False,True,True,True,Gemini 3.1 Pro,,False,False,False
116,8.0,0.0,0.0,0.0,0.0,agent,,,False,False,Gemini 3.1 Pro,,False,False,False
117,5.0,0.0,0.0,0.0,0.0,agent,,,False,False,Gemini 3.1 Pro,,False,False,False
118,6.0,0.0,0.0,0.0,0.0,agent,,,False,False,Gemini 3.1 Pro,,False,False,False
119,2.0,0.0,0.0,0.0,0.0,agent,,,False,False,Gemini 3.1 Pro,,False,False,False
120,5.0,0.0,0.0,0.0,0.0,agent,False,False,True,False,Gemini 3.1 Pro,,False,False,False
121,8.0,0.0,0.0,0.0,0.0,agent,False,True,True,True,Gemini 3.1 Pro,,False,False,False
122,17.0,0.0,0.0,0.0,0.0,agent,False,True,True,True,GLM 5,,False,False,False
123,18.0,0.0,0.0,0.0,0.0,agent,True,True,True,True,GLM 5,1387.39155,False,False,False
124,9.0,0.0,0.0,0.0,0.0,agent,,,False,False,GLM 5,,False,False,False
125,16.0,0.0,0.0,0.0,0.0,agent,False,True,True,True,GLM 5,,False,False,False
126,9.0,0.0,0.0,0.0,0.0,agent,False,True,True,True,GLM 5,,False,False,False
127,0.0,0.0,0.0,0.0,0.0,agent,,,False,False,GLM 5,,False,False,False
128,6.0,0.0,0.0,0.0,0.0,agent,,,False,False,GLM 5,,False,False,False
129,0.0,0.0,0.0,0.0,0.0,agent,,,False,False,GLM 5,,False,False,False
130,9.0,0.0,0.0,0.0,0.0,agent,,,False,False,GLM 5,,False,False,False
131,1.0,1.0,11.0,0.0,0.0,agent,,,False,False,GLM 5,,True,True,True
132,20.0,0.0,0.0,0.0,0.0,agent,True,True,True,True,GPT 5.2,3.636133333333333,False,False,False
133,26.0,0.0,0.0,0.0,0.0,agent,False,True,True,True,GPT 5.2,,False,False,False
134,16.0,0.0,0.0,0.0,0.0,agent,True,True,True,True,GPT 5.2,177.59050000000002,False,False,False
135,10.0,0.0,0.0,0.0,0.0,agent,,,False,False,GPT 5.2,,False,False,False
136,8.0,0.0,0.0,0.0,0.0,agent,,,False,False,GPT 5.2,,False,False,False
137,20.0,0.0,0.0,0.0,0.0,agent,True,True,True,True,GPT 5.2,80.96844999999999,False,False,False
138,15.0,0.0,0.0,0.0,0.0,agent,True,True,True,True,GPT 5.2,46.2453,False,False,False
139,14.0,0.0,0.0,0.0,0.0,agent,False,True,True,True,GPT 5.2,,False,False,False
140,4.0,0.0,0.0,0.0,0.0,agent,,,False,False,GPT 5.2,,False,False,False
141,14.0,0.0,0.0,0.0,0.0,agent,False,True,True,True,GPT 5.2,,False,False,False
