design_id,b2_status,b2_iptm,b2_ptm,b2_mean_plddt,b2_ipsae_d0res_min,b2_ipsae_d0res_max,b2_ipsae_d0chn_min,b2_ipsae_d0chn_max,b2_ipsae_d0dom_min,b2_ipsae_d0dom_max,b2_iptm_d0chn_min,b2_iptm_d0chn_max,b2_iptm_af_min,b2_iptm_af_max,b2_pdockq,b2_pdockq2,b2_lis,b2_n_interface,b2_struct_exists,af2m_status,af2m_iptm,af2m_ptm,af2m_mean_plddt,af2m_ipsae_d0res_min,af2m_ipsae_d0res_max,af2m_ipsae_d0chn_min,af2m_ipsae_d0chn_max,af2m_ipsae_d0dom_min,af2m_ipsae_d0dom_max,af2m_iptm_d0chn_min,af2m_iptm_d0chn_max,af2m_iptm_af_min,af2m_iptm_af_max,af2m_pdockq,af2m_pdockq2,af2m_lis,af2m_n_interface,af2m_struct_exists,ipsae_pass_4folders,iptm_pass_4folders
89,ok,0.9333547353744507,0.9469420909881592,0.7241993546485901,0.7468937534327216,0.8730564627578001,0.7357628372180088,0.7571112485441452,0.9771414284583116,0.9789819126860649,0.7355404422180547,0.7479281892841222,0.8789691503899149,0.881678418858982,0.1722217600869724,0.15043624665313865,0.7285941143744415,147,True,ok,0.43,0.58,70.79841004184101,0.06806334935909157,0.09934045866680759,0.18880486917291447,0.25074039630797934,0.6690420215505217,0.7824769867879882,0.1053952428898666,0.14265016672664887,0.24757421057954304,0.3026248008611886,0.13360082420866717,0.05255284870693199,0.14245304367503958,37,True,2,2
90,ok,0.8845487833023071,0.857071042060852,0.7880443930625916,0.6644326449363109,0.6822558953811712,0.6114166110381541,0.6196405804875713,0.9432185858725987,0.960206483435354,0.5019289410139381,0.5665188742828714,0.6525132165814984,0.737567524965383,0.29937294111340507,0.6719742043800108,0.598217081987009,41,True,ok,0.87,0.72,80.4741568627451,0.6858578444294493,0.7099759053939683,0.7196406978893567,0.7290554135911599,0.9692546453377658,0.9702092058483902,0.4710294747629324,0.5125514464972601,0.5831562591361616,0.6331794462967522,0.3250737382323516,0.874788176828509,0.6925737888155367,34,True,3,3
91,ok,0.9216524958610535,0.8297486305236816,0.7941586375236511,0.6429690351683718,0.7829142426499025,0.6390530002334804,0.7244303236250367,0.9468169663409535,0.9641418684276277,0.49636615206548784,0.5405583482876611,0.6220485422240627,0.6893402880992184,0.28872328819042037,0.08247540122379368,0.650614487917582,69,True,ok,0.89,0.72,79.4613725490196,0.6860677150587777,0.7080820595199727,0.7088481523422161,0.7407544693326918,0.9677558673961228,0.9699507254927119,0.47920704955830246,0.5047545629228004,0.5873413889865183,0.627589343834626,0.33530196212055285,0.8659258467211324,0.6851206926863573,35,True,4,3
92,ok,0.9555773735046387,0.8811940550804138,0.7867210507392883,0.7222585935364579,0.8970107686611807,0.6797677476672105,0.6976812673091959,0.9584036564541665,0.9661128873122632,0.5566808007621894,0.6295331814770303,0.6787047861097717,0.7702686596264688,0.4242763267095399,0.6124760614935636,0.6525055849858823,62,True,ok,0.87,0.72,79.91430188679246,0.6972882688876821,0.7282313608773908,0.7123990051821657,0.7226782516693803,0.968967410304802,0.9701571889622954,0.46789794499905485,0.5013157777580569,0.5792910067220794,0.6184114632345491,0.4728181236614424,0.7023952099703602,0.6801316704602933,58,True,3,3
93,ok,0.7660031914710999,0.737088143825531,0.7493534684181213,0.39898039018567244,0.4124542813754488,0.4630382611180334,0.4981187796732732,0.9259023675094004,0.9342927627714325,0.3276751068615358,0.33343448460994884,0.4957686234753199,0.5174439238309404,0.318300417599334,0.05592211996900369,0.44980614722028955,85,True,ok,0.49,0.59,72.35218867924529,0.17231411682024808,0.20929166951935047,0.2957573197480748,0.2961326858386333,0.858886057004105,0.8607397383837867,0.19446084054668195,0.20129134155739267,0.35973257794313485,0.369367191211713,0.14782070382777648,0.13042705689967463,0.25888142213983045,45,True,3,2
94,ok,0.9529911875724792,0.9679827094078064,0.6948334574699402,0.8935520256145457,0.9309643864225285,0.8095618070786996,0.8235690566466127,0.9878521414068823,0.9879251733616082,0.8081615039872911,0.8235690566466128,0.9080992646332581,0.9135175831726398,0.1257300982931678,0.13729932983641632,0.7659313785651969,128,True,ok,0.29,0.52,64.01567272727273,0.05871254967902542,0.07909752637607033,0.21484383925442546,0.24923039001796715,0.653991526258306,0.761268397289629,0.08754687147776721,0.11537543159368956,0.19104495711062894,0.2365286155440556,0.038154355688363825,0.015573385614493621,0.1605529197080292,28,True,1,1
95,ok,0.946300745010376,0.862525463104248,0.8059554100036621,0.7145117541681211,0.8710654878405711,0.6642523965335785,0.6870037309098622,0.9617573389715935,0.9657582928811967,0.5559948005262147,0.6203641978176055,0.6834326050573896,0.7674558350965447,0.3169253376739799,0.5795790858757522,0.6318871320977651,48,True,ok,0.25,0.51,71.65588679245282,0.03223945347015678,0.06205891310715466,0.2012534363669202,0.2134445947166702,0.6746540663056738,0.7185443110007825,0.09736072841116748,0.11224545091088182,0.21679629863761465,0.24221222235809522,0.10627049928755762,0.03632217107715534,0.16166863765373699,41,True,3,2
96,ok,0.8674025535583496,0.8742198944091797,0.7270945310592651,0.5739504865189756,0.6300498000749206,0.577013568005236,0.5802322508882853,0.9595573472016692,0.9628354076110981,0.519340342557788,0.5365724987479575,0.6958125315991849,0.7223641404623519,0.20975029246083232,0.1420119468154772,0.5597256314252512,96,True,ok,0.29,0.52,65.83981818181819,0.005983230798884726,0.03641293159403722,0.1573997245048852,0.18610963364458852,0.19940372347393498,0.6791468665347424,0.07057532394875457,0.09953766937645388,0.16612211903450194,0.21827655197520787,0.10576054664438357,0.014735718119870622,0.00999999999999997,54,True,1,1
97,ok,0.887598991394043,0.8924628496170044,0.7148286700248718,0.60999212658386,0.6121593920856068,0.5424266973303068,0.5843292889640024,0.9525172451272933,0.9679458137570063,0.527930165703531,0.5815390413519571,0.7165431412372781,0.7764231106552967,0.13079500314271203,0.12483576232718098,0.5610278678115534,96,True,ok,0.18,0.48,65.9152,0.005608239151855279,0.006760186915519331,0.15439089367389291,0.1760655910778688,0.2429091684553906,0.5022201393663047,0.06581426528975144,0.07842919925077468,0.15556682290180227,0.1796246539950098,0.11351433946511191,0.014033179793445427,0.0,68,True,1,1
98,ok,0.9138190746307373,0.8828656673431396,0.8038779497146606,0.6826062045116966,0.7847407668159536,0.6638983600624473,0.705764252584048,0.9670432280748457,0.9685162471500282,0.5797828646449981,0.6177431524298382,0.7057234474551208,0.7725376491401588,0.39927638486961364,0.7059185488473382,0.6381815923841698,56,True,ok,0.66,0.65,74.39260377358491,0.3077439345747042,0.3465983983971075,0.42277767876779637,0.448063803142746,0.915786429596876,0.9230150453038345,0.29256782449184077,0.29469423369698744,0.4605736024219498,0.4697430306051875,0.23691187089042776,0.2579369620654462,0.4031918112141992,52,True,3,1
99,ok,0.7975446581840515,0.8252880573272705,0.7363455891609192,0.38351278002945693,0.39048933560556953,0.3932489314341681,0.45346913419244084,0.9218025006197994,0.9281165889086525,0.3652493082863617,0.3719276778234965,0.5644441211775367,0.577759927340701,0.3297281437874139,0.05868467057194794,0.3803985734125601,124,True,ok,0.19,0.48,64.38270072992701,0.006800783541813895,0.006916463910896556,0.17548161532536255,0.1778660244497383,0.272036557236485,0.46863223082410854,0.06138161538043104,0.07880973755053525,0.1464428611388646,0.181106746374901,0.06892470017633819,0.01119668893957689,0.03917624521072796,68,True,1,1
100,ok,0.3583381772041321,0.605730414390564,0.6809207797050476,0.009931505967456478,0.026666820713508985,0.16627196900836572,0.2126754607895979,0.34893996072888145,0.5528490171232603,0.08641099842311674,0.09423580092346663,0.1958234276759692,0.2154030639189956,0.060171668539888784,0.016609808569905595,0.11836468191511207,76,True,ok,0.22,0.49,56.51814545454545,0.006442122989026201,0.013087056825733212,0.16862223353454706,0.2076523710029321,0.14775300046423456,0.6150213506415482,0.05675869282528899,0.09112584758745045,0.13665577549752822,0.20183389579512903,0.03962537895247842,0.012021738848363633,0.03638888888888891,55,True,0,0
101,ok,0.29517948627471924,0.5402459502220154,0.6676203012466431,0.0048496277864104615,0.005395465222907702,0.14442198842933782,0.1497333622220829,0.0048496277864104615,0.08813991989212011,0.07390555871971069,0.08177460865950818,0.1752487157485375,0.19105610827132483,0.07708857118791136,0.010781517568830997,0.0,114,True,ok,0.14,0.45,58.05574545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.05375482362201062,0.060527659685914545,0.13117095771180445,0.14605608760319586,0.1197251247367693,0.009766927172955138,0.0,139,True,0,0
102,ok,0.9304158687591553,0.8250580430030823,0.8097701072692871,0.7354614669882695,0.8442686214375523,0.7404321346452288,0.7880039491963129,0.966564976447056,0.977825495053765,0.527448590128799,0.573272644945052,0.6268903458516889,0.6905781257161766,0.4198457927708251,0.23701822215270646,0.7395403039319013,77,True,ok,0.9,0.74,80.93727272727273,0.7533325847738156,0.7846473761167755,0.7637418414980738,0.7692480557116259,0.9756990965014215,0.9771175736886296,0.49806385456854896,0.5431240494116314,0.5929696428902238,0.6437260271647246,0.487905256117599,0.8828471086909834,0.7204346243244001,51,True,4,3
103,ok,0.9289615750312805,0.8564385771751404,0.8242735862731934,0.6424613877921956,0.8446474355004787,0.6344764337747296,0.6943404324750699,0.9559311757649462,0.957860303139863,0.5209335140962484,0.5954706839502879,0.641658198009732,0.737314123684428,0.32876928235242686,0.7885884003609585,0.6222953911341249,41,True,ok,0.88,0.73,80.95978181818182,0.714914567654393,0.7466159976590407,0.7258361245454937,0.7363855836081672,0.9715223786939927,0.9740954333572345,0.4703949531885793,0.5183790503046979,0.5780612042534541,0.6275320462937716,0.3357506279051658,0.8481102360272436,0.6991890179664587,36,True,4,3
104,ok,0.9163463115692139,0.8306743502616882,0.8130244016647339,0.6528132101398778,0.8105571672150786,0.6493870290955485,0.7416053044290977,0.9546309836389681,0.9708371101807295,0.5006620381455361,0.5602109954805666,0.6122870049718855,0.6981935962827581,0.45287302598765555,0.7451146905320122,0.6419661633645208,56,True,ok,0.87,0.73,80.92992727272727,0.7234199646315437,0.7271646589487104,0.7266721232809004,0.7513831337187248,0.9718185624078342,0.9760213153492211,0.470276377479703,0.5332470191728679,0.5780525668774525,0.6379181890415024,0.4161436398033335,0.8738540720825243,0.709416856204195,43,True,2,2
105,ok,0.9083732962608337,0.929747462272644,0.795773446559906,0.7506557409279695,0.7850829445471692,0.6598997880540564,0.6871201703307216,0.963586254513315,0.9766184411030926,0.6301135867928734,0.681467939559464,0.7716118959219943,0.8324328040093882,0.18811356689946146,0.5192525969302791,0.6488112954062069,38,True,ok,0.83,0.71,79.12316363636364,0.5929972362091285,0.6328389971586057,0.6253503334846451,0.6788307634016753,0.9577462158818025,0.9668607064027597,0.43979791138422986,0.44064132413652746,0.5621506373574316,0.576342459127614,0.3532851646941211,0.6209171939853714,0.606224749692605,49,True,4,2
106,ok,0.9327479004859924,0.8789726495742798,0.8462790846824646,0.7056637596845564,0.8554879455598065,0.6910827470439229,0.7006825296627162,0.9633165708632908,0.9713154964930746,0.5722746151538816,0.6462752862771985,0.6887192453256145,0.7847610436996869,0.5157841930397686,0.8456459717652622,0.6579974952482331,62,True,ok,0.85,0.72,78.52392727272728,0.6208886112633104,0.6675086643503967,0.6396705785757173,0.6997893263601257,0.9621574105409405,0.9691746779631353,0.4510396624747807,0.4545938391286492,0.570265556196525,0.5866592373905571,0.4660627721858818,0.6992616656012404,0.6155903674992822,63,True,4,4
