design_id,n_tip,frac_tip,n_basic,frac_basic,n_cdr_perera,frac_cdr_perera,cohort,is_hit,expressed,p_screened,p_expressed,team,kd_arith_mean_nM_all
72,3,0.5,0,0.0,2,0.18181818181818182,human,,,False,False,BART.bio,
73,5,0.8333333333333334,0,0.0,7,0.6363636363636364,human,False,False,True,False,BraiNSEY,
74,6,1.0,1,0.125,8,0.7272727272727273,human,True,True,True,True,BraiNSEY,1.9082
75,6,1.0,1,0.125,8,0.7272727272727273,human,False,True,True,True,BraiNSEY,
76,5,0.8333333333333334,0,0.0,7,0.6363636363636364,human,False,True,True,True,BraiNSEY,
77,0,0.0,0,0.0,0,0.0,human,,,False,False,BraiNSEY,
78,0,0.0,0,0.0,0,0.0,human,,,False,False,BraiNSEY,
79,0,0.0,0,0.0,0,0.0,human,True,True,True,True,BraiNSEY,21.6617
80,1,0.16666666666666666,0,0.0,1,0.09090909090909091,human,,,False,False,BraiNSEY,
81,0,0.0,1,0.125,0,0.0,human,,,False,False,Marcel,
82,5,0.8333333333333334,2,0.25,5,0.45454545454545453,agent,True,True,True,True,claude-sonnet-4.6,34.906400000000005
83,0,0.0,1,0.125,0,0.0,agent,,,False,False,claude-sonnet-4.6,
84,5,0.8333333333333334,2,0.25,5,0.45454545454545453,agent,False,True,True,True,claude-sonnet-4.6,
85,0,0.0,0,0.0,0,0.0,agent,False,True,True,True,claude-sonnet-4.6,
86,5,0.8333333333333334,2,0.25,4,0.36363636363636365,agent,True,True,True,True,claude-sonnet-4.6,214.5512
87,6,1.0,1,0.125,7,0.6363636363636364,agent,True,True,True,True,claude-sonnet-4.6,1062.2436333333333
88,0,0.0,0,0.0,0,0.0,agent,False,True,True,True,claude-sonnet-4.6,
89,0,0.0,0,0.0,0,0.0,agent,,,False,False,claude-sonnet-4.6,
90,3,0.5,0,0.0,3,0.2727272727272727,agent,False,True,True,True,claude-sonnet-4.6,
91,6,1.0,2,0.25,7,0.6363636363636364,agent,True,True,True,True,claude-sonnet-4.6,204.40915
92,6,1.0,2,0.25,5,0.45454545454545453,agent,False,True,True,True,qwen-3.5-plus,
93,5,0.8333333333333334,0,0.0,4,0.36363636363636365,agent,,,False,False,qwen-3.5-plus,
94,5,0.8333333333333334,0,0.0,4,0.36363636363636365,agent,False,True,True,True,qwen-3.5-plus,
95,6,1.0,0,0.0,7,0.6363636363636364,agent,True,True,True,True,qwen-3.5-plus,137.75336666666666
96,3,0.5,0,0.0,4,0.36363636363636365,agent,,,False,False,qwen-3.5-plus,
97,2,0.3333333333333333,0,0.0,2,0.18181818181818182,agent,,,False,False,qwen-3.5-plus,
98,6,1.0,3,0.375,8,0.7272727272727273,agent,False,False,True,False,qwen-3.5-plus,
99,6,1.0,1,0.125,7,0.6363636363636364,agent,False,True,True,True,qwen-3.5-plus,
100,6,1.0,3,0.375,7,0.6363636363636364,agent,,,False,False,qwen-3.5-plus,
101,0,0.0,0,0.0,0,0.0,agent,,,False,False,qwen-3.5-plus,
102,6,1.0,2,0.25,6,0.5454545454545454,agent,True,True,True,True,grok-4.1-fast,6.8485499999999995
103,5,0.8333333333333334,1,0.125,5,0.45454545454545453,agent,True,True,True,True,grok-4.1-fast,34.53495
104,6,1.0,1,0.125,6,0.5454545454545454,agent,,,False,False,grok-4.1-fast,
105,6,1.0,3,0.375,6,0.5454545454545454,agent,False,False,True,False,grok-4.1-fast,
106,6,1.0,2,0.25,6,0.5454545454545454,agent,False,True,True,True,grok-4.1-fast,
107,0,0.0,1,0.125,0,0.0,agent,,,False,False,grok-4.1-fast,
108,3,0.5,0,0.0,2,0.18181818181818182,agent,,,False,False,grok-4.1-fast,
109,0,0.0,2,0.25,0,0.0,agent,,,False,False,grok-4.1-fast,
110,0,0.0,0,0.0,0,0.0,agent,,,False,False,grok-4.1-fast,
111,0,0.0,2,0.25,0,0.0,agent,False,False,True,False,grok-4.1-fast,
112,2,0.3333333333333333,1,0.125,2,0.18181818181818182,agent,False,True,True,True,Gemini 3.1 Pro,
113,4,0.6666666666666666,1,0.125,5,0.45454545454545453,agent,False,False,True,False,Gemini 3.1 Pro,
114,6,1.0,0,0.0,6,0.5454545454545454,agent,False,False,True,False,Gemini 3.1 Pro,
115,6,1.0,1,0.125,8,0.7272727272727273,agent,False,True,True,True,Gemini 3.1 Pro,
116,5,0.8333333333333334,0,0.0,6,0.5454545454545454,agent,,,False,False,Gemini 3.1 Pro,
117,3,0.5,0,0.0,2,0.18181818181818182,agent,,,False,False,Gemini 3.1 Pro,
118,4,0.6666666666666666,1,0.125,3,0.2727272727272727,agent,,,False,False,Gemini 3.1 Pro,
119,2,0.3333333333333333,0,0.0,1,0.09090909090909091,agent,,,False,False,Gemini 3.1 Pro,
