family,descriptor,outcome,n,rho,ci_low,ci_high,p_perm,q_bh,set
confidence,submitted_ipsae,log_kd,33,-0.36363636363636365,-0.6450448035530386,0.01968566791481017,0.040995900409959006,0.16398360163983602,primary_n33
confidence,boltz2_iptm,log_kd,33,-0.21122994652406418,-0.5260088189882304,0.20983334654157454,0.23577642235776422,0.3143685631436856,primary_n33
confidence,boltz2_plddt,log_kd,33,-0.23195187165775402,-0.5449631701027032,0.1646728427233654,0.19198080191980801,0.3143685631436856,primary_n33
confidence,boltz2_complex_plddt,log_kd,33,-0.17446524064171123,-0.49155286485524685,0.2087334601901584,0.32396760323967605,0.32396760323967605,primary_n33
stability,bsa,log_kon,36,0.0640926640926641,-0.3023098569765036,0.4218276844813872,0.7099290070992901,0.8707129287071292,sensitivity_n36
stability,n_iface_binder,log_kon,36,0.16875292422399826,-0.22345579776642555,0.481538512500085,0.33256674332566744,0.6651334866513349,sensitivity_n36
stability,hbonds,log_kon,36,0.1644586044433293,-0.18225841577449658,0.4658483634688726,0.3231676832316768,0.6651334866513349,sensitivity_n36
stability,hbond_density_per100,log_kon,36,0.2123688787459563,-0.13378806123038234,0.4846327660307732,0.2211778822117788,0.6651334866513349,sensitivity_n36
stability,iface_frac_hydrophobic,log_kon,36,-0.02550232600778107,-0.36199802612026455,0.3137190807603484,0.8707129287071292,0.8707129287071292,sensitivity_n36
stability,rosetta_dg,log_kon,36,-0.054568854568854575,-0.41827526941236476,0.3112736171747126,0.7589241075892411,0.8707129287071292,sensitivity_n36
stability,prodigy_protenix_dg,log_kon,0,,,,,,sensitivity_n36
stability,bsa,log_koff,36,-0.4844272844272845,-0.7148487979904828,-0.16926555092366105,0.0033996600339966003,0.020397960203979604,sensitivity_n36
stability,n_iface_binder,log_koff,36,-0.3860724997020252,-0.6272917230708882,-0.10074384956647231,0.021397860213978603,0.06419358064193581,sensitivity_n36
stability,hbonds,log_koff,36,-0.18943146884739112,-0.47806627052161127,0.14872138337568372,0.26177382261773824,0.3141285871412859,sensitivity_n36
stability,hbond_density_per100,log_koff,36,-0.12446103378626652,-0.4161519273577711,0.21167727027368316,0.47035296470352966,0.47035296470352966,sensitivity_n36
stability,iface_frac_hydrophobic,log_koff,36,0.3384854179214579,-0.018353175359610584,0.6264869980191388,0.0443955604439556,0.0887911208879112,sensitivity_n36
stability,rosetta_dg,log_koff,36,0.31505791505791503,-0.04075014252038131,0.5975403663850846,0.06819318068193181,0.10228977102289771,sensitivity_n36
stability,prodigy_protenix_dg,log_koff,0,,,,,,sensitivity_n36
stability,bsa,log_kd,36,-0.5011583011583012,-0.7337625899358404,-0.1584261371787868,0.0023997600239976003,0.014398560143985602,sensitivity_n36
stability,n_iface_binder,log_kd,36,-0.47271540553921226,-0.6579875894769419,-0.22697408458217777,0.0059994000599940004,0.017998200179982,sensitivity_n36
stability,hbonds,log_kd,36,-0.2524458987167077,-0.5353131595966563,0.08652063674744864,0.1411858814118588,0.16942305769423055,sensitivity_n36
stability,hbond_density_per100,log_kd,36,-0.20168608060297794,-0.49712544809739717,0.10970351294125168,0.2333766623337666,0.2333766623337666,sensitivity_n36
stability,iface_frac_hydrophobic,log_kd,36,0.30461111620405174,-0.06973428918364899,0.6034266612857432,0.0685931406859314,0.1028897110288971,sensitivity_n36
stability,rosetta_dg,log_kd,36,0.33256113256113257,-0.04605518706774403,0.6239020245956204,0.04459554044595541,0.08919108089191082,sensitivity_n36
stability,prodigy_protenix_dg,log_kd,0,,,,,,sensitivity_n36
